"STATISTIC","Statistic Label","TLIST(A1)","Year","C02402V02895","Type of Building and Construction","UNIT","VALUE"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","11","Building (excluding civil engineering)","Base 2015=100","88.245861266"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","111","Residential building","Base 2015=100","92.08217799"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","112","Non-residential building","Base 2015=100","85.164123517"
"BEA04C01","Value of Production Index in Building and Construction","2010","2010","12","Civil engineering","Base 2015=100","106.60702692"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","-","All building and construction","Base 2015=100","76.231060977"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","11","Building (excluding civil engineering)","Base 2015=100","74.460470777"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","111","Residential building","Base 2015=100","65.564989163"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","112","Non-residential building","Base 2015=100","81.606268023"
"BEA04C01","Value of Production Index in Building and Construction","2011","2011","12","Civil engineering","Base 2015=100","80.296555401"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","-","All building and construction","Base 2015=100","74.998646622"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","11","Building (excluding civil engineering)","Base 2015=100","66.604594126"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","111","Residential building","Base 2015=100","57.912893629"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","112","Non-residential building","Base 2015=100","73.586692698"
"BEA04C01","Value of Production Index in Building and Construction","2012","2012","12","Civil engineering","Base 2015=100","94.272430936"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","-","All building and construction","Base 2015=100","84.124164198"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","11","Building (excluding civil engineering)","Base 2015=100","77.507151854"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","111","Residential building","Base 2015=100","64.584788454"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","112","Non-residential building","Base 2015=100","87.887768981"
"BEA04C01","Value of Production Index in Building and Construction","2013","2013","12","Civil engineering","Base 2015=100","99.317644197"
"BEA04C01","Value of Production Index in Building and Construction","2014","2014","-","All building and construction","Base 2015=100","91.974680263"
"BEA04C01","Value of Production Index in Building and Construction","2014","2014","11","Building (excluding civil engineering)","Base 2015=100","86.946529366"
"BEA04C01","Value of Production Index in Building and Construction","2014","2014","111","Residential building","Base 2015=100","76.999729361"
"BEA04C01","Value of Production Index in Building and Construction","2014","2014","112","Non-residential building","Base 2015=100","94.936857397"
"BEA04C01","Value of Production Index in Building and Construction","2014","2014","12","Civil engineering","Base 2015=100","103.51993757"
"BEA04C01","Value of Production Index in Building and Construction","2015","2015","-","All building and construction","Base 2015=100","100"
"BEA04C01","Value of Production Index in Building and Construction","2015","2015","11","Building (excluding civil engineering)","Base 2015=100","100"
"BEA04C01","Value of Production Index in Building and Construction","2015","2015","111","Residential building","Base 2015=100","100"
"BEA04C01","Value of Production Index in Building and Construction","2015","2015","112","Non-residential building","Base 2015=100","100"
"BEA04C01","Value of Production Index in Building and Construction","2015","2015","12","Civil engineering","Base 2015=100","100"
"BEA04C01","Value of Production Index in Building and Construction","2016","2016","-","All building and construction","Base 2015=100","110.27145845"
"BEA04C01","Value of Production Index in Building and Construction","2016","2016","11","Building (excluding civil engineering)","Base 2015=100","111.76030686"
"BEA04C01","Value of Production Index in Building and Construction","2016","2016","111","Residential building","Base 2015=100","124.26957409"
"BEA04C01","Value of Production Index in Building and Construction","2016","2016","112","Non-residential building","Base 2015=100","109.82225138"
"BEA04C01","Value of Production Index in Building and Construction","2016","2016","12","Civil engineering","Base 2015=100","103.4889268"
"BEA04C01","Value of Production Index in Building and Construction","2017","2017","-","All building and construction","Base 2015=100","126.31063495"
"BEA04C01","Value of Production Index in Building and Construction","2017","2017","11","Building (excluding civil engineering)","Base 2015=100","130.17769946"
"BEA04C01","Value of Production Index in Building and Construction","2017","2017","111","Residential building","Base 2015=100","146.59952346"
"BEA04C01","Value of Production Index in Building and Construction","2017","2017","112","Non-residential building","Base 2015=100","127.63347321"
"BEA04C01","Value of Production Index in Building and Construction","2017","2017","12","Civil engineering","Base 2015=100","108.69400773"
"BEA04C01","Value of Production Index in Building and Construction","2018","2018","-","All building and construction","Base 2015=100","145.10794734"
"BEA04C01","Value of Production Index in Building and Construction","2018","2018","11","Building (excluding civil engineering)","Base 2015=100","149.31469929"
"BEA04C01","Value of Production Index in Building and Construction","2018","2018","111","Residential building","Base 2015=100","150.58932615"
"BEA04C01","Value of Production Index in Building and Construction","2018","2018","112","Non-residential building","Base 2015=100","149.11722188"
"BEA04C01","Value of Production Index in Building and Construction","2018","2018","12","Civil engineering","Base 2015=100","125.94385516"
"BEA04C01","Value of Production Index in Building and Construction","2019","2019","-","All building and construction","Base 2015=100","156.62467415"
"BEA04C01","Value of Production Index in Building and Construction","2019","2019","11","Building (excluding civil engineering)","Base 2015=100","164.18727623"
"BEA04C01","Value of Production Index in Building and Construction","2019","2019","111","Residential building","Base 2015=100","174.13157535"
"BEA04C01","Value of Production Index in Building and Construction","2019","2019","112","Non-residential building","Base 2015=100","162.64661017"
"BEA04C01","Value of Production Index in Building and Construction","2019","2019","12","Civil engineering","Base 2015=100","122.17282023"
"BEA04C01","Value of Production Index in Building and Construction","2020","2020","-","All building and construction","Base 2015=100","143.8280889"
"BEA04C01","Value of Production Index in Building and Construction","2020","2020","11","Building (excluding civil engineering)","Base 2015=100","152.33994814"
"BEA04C01","Value of Production Index in Building and Construction","2020","2020","111","Residential building","Base 2015=100","136.37172616"
"BEA04C01","Value of Production Index in Building and Construction","2020","2020","112","Non-residential building","Base 2015=100","154.81389802"
