DATE,DEUPROCONMISMEI
1962-01-01,77.4795087858686
1962-02-01,73.2042599951672
1962-03-01,71.1041377821911
1962-04-01,66.3788628029949
1962-05-01,68.6289937454693
1962-06-01,68.4039806512219
1962-07-01,68.0289588274761
1962-08-01,69.3790373929608
1962-09-01,68.7790024749676
1962-10-01,67.6539370037304
1962-11-01,69.5290461224591
1962-12-01,68.478985015971
1963-01-01,64.5037536842662
1963-02-01,57.9783739510904
1963-03-01,66.6038758972423
1963-04-01,70.3540941346997
1963-05-01,73.5042774541638
1963-06-01,72.3042076181775
1963-07-01,72.3792119829266
1963-08-01,73.6542861836621
1963-09-01,72.3792119829266
1963-10-01,72.3042076181775
1963-11-01,76.3544433146314
1963-12-01,72.9042425361706
1964-01-01,78.3045567981092
1964-02-01,79.5046266340956
1964-03-01,78.8295873513532
1964-04-01,77.8545306096144
1964-05-01,76.9544782326246
1964-06-01,78.8295873513532
1964-07-01,78.7545829866041
1964-08-01,75.9044171261365
1964-09-01,76.7294651383771
1964-10-01,77.7795262448652
1964-11-01,78.6045742571058
1964-12-01,84.5299190722884
1965-01-01,88.8051678629898
1965-02-01,79.1296048103498
1965-03-01,79.6546353635939
1965-04-01,80.7046964700819
1965-05-01,80.4796833758345
1965-06-01,78.2295524333601
1965-07-01,79.5796309988447
1965-08-01,79.4296222693464
1965-09-01,80.0296571873396
1965-10-01,80.6296921053328
1965-11-01,73.6542861836621
1965-12-01,83.1048361420546
1966-01-01,81.0047139290785
1966-02-01,83.2548448715529
1966-03-01,92.7803991946946
1966-04-01,82.3547924945632
1966-05-01,81.229727023326
1966-06-01,81.1547226585768
1966-07-01,81.229727023326
1966-08-01,77.7045218801161
1966-09-01,78.5295698923566
1966-10-01,77.7795262448652
1966-11-01,73.2042599951672
1966-12-01,78.3045567981092
1967-01-01,80.1046615520888
1967-02-01,77.4045044211195
1967-03-01,79.4296222693464
1967-04-01,75.2293778433942
1967-05-01,71.554163970686
1967-06-01,74.3293254664044
1967-07-01,75.1543734786451
1967-08-01,75.0043647491468
1967-09-01,76.3544433146314
1967-10-01,76.654460773628
1967-11-01,77.9295349743635
1967-12-01,76.2044345851331
1968-01-01,78.6045742571058
1968-02-01,81.0047139290785
1968-03-01,78.6045742571058
1968-04-01,77.4045044211195
1968-05-01,79.0546004456007
1968-06-01,79.2796135398481
1968-07-01,78.6045742571058
1968-08-01,82.1297794003157
1968-09-01,79.3546179045973
1968-10-01,80.3296746463362
1968-11-01,83.6298666952986
1968-12-01,79.729639728343
1969-01-01,91.1303031702134
1969-02-01,81.8297619413191
1969-03-01,83.4798579658004
1969-04-01,84.5299190722884
1969-05-01,87.3050805680068
1969-06-01,87.4550892975051
1969-07-01,90.455263887471
1969-08-01,89.3301984162338
1969-09-01,88.2051329449966
1969-10-01,91.3553162644608
1969-11-01,90.8302857112167
1969-12-01,81.229727023326
1970-01-01,87.4550892975051
1970-02-01,84.304905978041
1970-03-01,82.279788129814
1970-04-01,88.1301285802475
1970-05-01,91.9553511824539
1970-06-01,95.1055345019181
1970-07-01,97.4306698091416
1970-08-01,96.5306174321519
1970-09-01,95.4805563256638
1970-10-01,95.1055345019181
1970-11-01,94.8055170429215
1970-12-01,100.805866222853
1971-01-01,92.480381735698
1971-02-01,96.4556130674027
1971-03-01,89.5552115104812
1971-04-01,94.8055170429215
1971-05-01,95.4055519609147
1971-06-01,97.0556479853959
1971-07-01,99.0057614688738
1971-08-01,95.7055694199113
1971-09-01,97.0556479853959
1971-10-01,97.8806959976365
1971-11-01,93.2304253831894
1971-12-01,103.356014624324
1972-01-01,97.9557003623857
1972-02-01,98.7807483746263
1972-03-01,106.431193579039
1972-04-01,102.080940423589
1972-05-01,99.7558051163652
1972-06-01,102.230949153087
1972-07-01,101.705918599843
1972-08-01,101.855927329341
1972-09-01,101.630914235094
1972-10-01,103.131001530077
1972-11-01,103.356014624324
1972-12-01,104.556084460311
1973-01-01,106.506197943788
1973-02-01,107.481254685527
1973-03-01,107.181237226531
1973-04-01,100.730861858104
1973-05-01,106.506197943788
1973-06-01,105.906163025795
1973-07-01,101.030879317101
1973-08-01,104.406075730812
1973-09-01,104.031053907067
1973-10-01,100.430844399108
1973-11-01,98.630739645128
1973-12-01,86.7800500147628
1974-01-01,105.006110648805
1974-02-01,107.856276509273
1974-03-01,100.580853128606
1974-04-01,97.2056567148942
1974-05-01,96.7556305263994
1974-06-01,94.6555083134232
1974-07-01,92.480381735698
1974-08-01,90.455263887471
1974-09-01,92.2553686414505
1974-10-01,89.1801896867355
1974-11-01,90.0052376989761
1974-12-01,88.5051504039932
1975-01-01,97.2806610796434
1975-02-01,95.1805388666672
1975-03-01,82.4297968593123
1975-04-01,79.4296222693464
1975-05-01,79.6546353635939
1975-06-01,81.4547401175734
1975-07-01,83.1048361420546
1975-08-01,80.9297095643294
1975-09-01,83.0298317773055
1975-10-01,83.4798579658004
1975-11-01,85.5799801787765
1975-12-01,87.380084932756
1976-01-01,92.4053773709488
1976-02-01,84.304905978041
1976-03-01,82.0547750355666
1976-04-01,88.1301285802475
1976-05-01,87.6050980270034
1976-06-01,87.9801198507492
1976-07-01,85.8049932730239
1976-08-01,89.7052202399796
1976-09-01,88.0551242154983
1976-10-01,91.2053075349625
1976-11-01,94.6555083134232
1976-12-01,95.2555432314164
1977-01-01,92.1053599119522
1977-02-01,96.2305999731553
1977-03-01,92.3303730061997
1977-04-01,88.1301285802475
1977-05-01,87.6801023917526
1977-06-01,87.0800674737594
1977-07-01,83.7048710600478
1977-08-01,84.6049234370376
