DATE,PRCNTO01IEQ657S
2000-04-01,4.0
2000-07-01,4.49490268767375
2000-10-01,-3.05986696230598
2001-01-01,-0.137236962488542
2001-04-01,2.97755382501146
2001-07-01,-2.26868327402137
2001-10-01,3.36822940373236
2002-01-01,-0.352267723469821
2002-04-01,-2.51878038002653
2002-07-01,3.53581142339077
2002-10-01,1.83887915936953
2003-01-01,1.20378331900258
2003-04-01,-0.849617672047597
2003-07-01,7.11225364181664
2003-10-01,2.36
2004-01-01,16.7643610785463
2004-04-01,6.19143239625167
2004-07-01,-3.34068704695871
2004-10-01,-3.78219758721878
2005-01-01,4.84581497797356
2005-04-01,8.66192630898513
2005-07-01,2.58774538964901
2005-10-01,0.1739634676718
2006-01-01,0.607814761215638
2006-04-01,-3.02071346375144
2006-07-01,1.63156333432216
2006-10-01,1.37186223000584
2007-01-01,-6.50734235531242
2007-04-01,-2.7101940252541
2007-07-01,-9.65495409939854
2007-10-01,-7.88367203924315
2008-01-01,-6.00988969189805
2008-04-01,-8.37717523269932
2008-07-01,-12.7650176678445
2008-10-01,-10.3291139240506
2009-01-01,-11.9706380575946
2009-04-01,-10.3912764592688
2009-07-01,-4.65282748747318
2009-10-01,-15.015015015015
2010-01-01,-11.8374558303887
2010-04-01,-0.901803607214411
2010-07-01,-5.96562184024268
2010-10-01,-8.60215053763442
2011-01-01,-7.05882352941175
2011-04-01,-3.41772151898736
2011-07-01,2.62123197903016
2011-10-01,3.57598978288632
2012-01-01,-4.56226880394573
2012-04-01,-5.68475452196383
2012-07-01,0.958904109589044
2012-10-01,5.29172320217095
2013-01-01,4.89690721649485
2013-04-01,1.1056511056511
2013-07-01,4.98177399756989
2013-10-01,0.115740740740723
2014-01-01,4.39306358381504
2014-04-01,2.43632336655593
2014-07-01,-1.18918918918918
2014-10-01,4.37636761487965
2015-01-01,6.70859538784067
2015-04-01,0.294695481335929
2015-07-01,-5.58276199804112
2015-10-01,4.35684647302903
2016-01-01,1.09343936381713
2016-04-01,7.1779744346116
2016-07-01,4.77064220183485
2016-10-01,-0.525394045534166
2017-01-01,7.74647887323944
2017-04-01,-0.653594771241819
2017-07-01,0.822368421052631
2017-10-01,5.70962479608482
2018-01-01,3.70370370370371
2018-04-01,-0.2232142857143
2018-07-01,2.3117076808352
2018-10-01,2.91545189504373
2019-01-01,-0.212464589235126
2019-04-01,0.638750887154021
2019-07-01,2.04513399153736
2019-10-01,3.87007601935041
2020-01-01,5.85495675316033
2020-04-01,-40.100565681961
2020-07-01,39.2444910807975
2020-10-01,5.72720422004524
2021-01-01,-21.5965787598004
2021-04-01,11.9090909090909
2021-07-01,7.06742485783917
2021-10-01,6.67678300455234
2022-01-01,-3.62731152204837
2022-04-01,-2.9520295202952
2022-07-01,-1.82509505703422
2022-10-01,-3.09837335398915
