DATE,PRCNTO01IEQ659S
2001-01-01,5.20481927710844
2001-04-01,4.17052826691382
2001-07-01,-2.5720620842572
2001-10-01,3.88838060384264
2002-01-01,3.66468163078332
2002-04-01,-1.86832740213526
2002-07-01,3.95994538006373
2002-10-01,2.42184059885514
2003-01-01,4.02121078214759
2003-04-01,5.8023572076156
2003-07-01,9.45709281961471
2003-10-01,10.0171969045572
2004-01-01,26.9328802039082
2004-04-01,35.9468723221937
2004-07-01,22.68
2004-10-01,15.3184837827276
2005-01-01,3.5475234270415
2005-04-01,5.95650803655846
2005-07-01,12.4551679165308
2005-10-01,17.0789562860047
2006-01-01,12.3464770523594
2006-04-01,0.26769779892922
2006-07-01,-0.66685995940851
2006-10-01,0.520984081041977
2007-01-01,-6.58803222094362
2007-04-01,-6.28893503411453
2007-07-01,-16.6958552247519
2007-10-01,-24.3017564065649
2008-01-01,-23.8989836772405
2008-04-01,-28.3317505539728
2008-07-01,-30.7988787666433
2008-10-01,-32.6359832635983
2009-01-01,-36.9081343585593
2009-04-01,-38.2950530035336
2009-07-01,-32.5569620253165
2009-10-01,-36.0813099943535
2010-01-01,-35.9846055163566
2010-04-01,-29.2054402290623
2010-07-01,-30.1801801801802
2010-10-01,-24.9116607773852
2011-01-01,-20.8416833667335
2011-04-01,-22.8513650151669
2011-07-01,-15.8064516129032
2011-10-01,-4.58823529411765
2012-01-01,-2.02531645569621
2012-04-01,-4.32503276539973
2012-07-01,-5.87484035759898
2012-10-01,-4.31565967940814
2013-01-01,5.16795865633075
2013-04-01,12.7397260273973
2013-07-01,17.2320217096337
2013-10-01,11.4690721649485
2014-01-01,10.9336609336609
2014-04-01,12.3936816524909
2014-07-01,5.78703703703703
2014-10-01,10.2890173410405
2015-01-01,12.7353266888151
2015-04-01,10.3783783783784
2015-07-01,5.47045951859956
2015-10-01,5.45073375262053
2016-01-01,-0.098231827111969
2016-04-01,6.75808031341825
2016-07-01,18.4647302904564
2016-10-01,12.9224652087475
2017-01-01,20.3539823008849
2017-04-01,11.5596330275229
2017-07-01,7.35551663747811
2017-10-01,14.0845070422535
2018-01-01,9.80392156862746
2018-04-01,10.2796052631579
2018-07-01,11.9086460032626
2018-10-01,8.95061728395061
2019-01-01,4.83630952380951
2019-04-01,5.7419835943326
2019-07-01,5.46647230320699
2019-10-01,6.44475920679888
2020-01-01,12.91696238467
2020-04-01,-32.7926657263752
2020-07-01,-8.2930200414651
2020-10-01,-6.65335994677312
2021-01-01,-30.8610936517913
2021-04-01,29.1710388247639
2021-07-01,-0.678221552373754
2021-10-01,0.213827512473254
2022-01-01,23.1818181818182
2022-04-01,6.82372055239643
2022-07-01,-2.04855842185131
2022-10-01,-11.0241820768137
