DATE,OPCNRE01ITM661N
1967-01-01,3.13287589581066
1967-02-01,3.1420007770606
1967-03-01,3.1420007770606
1967-04-01,3.14504240414391
1967-05-01,3.14808403122722
1967-06-01,3.15112565831053
1967-07-01,3.15112565831053
1967-08-01,3.16329216664378
1967-09-01,3.16025053956047
1967-10-01,3.16025053956047
1967-11-01,3.1693754208104
1967-12-01,3.1693754208104
1968-01-01,3.22108308122669
1968-02-01,3.23020796247663
1968-03-01,3.23324958955994
1968-04-01,3.23629121664325
1968-05-01,3.23629121664325
1968-06-01,3.23933284372656
1968-07-01,3.24237447080987
1968-08-01,3.26062423330974
1968-09-01,3.26366586039305
1968-10-01,3.26670748747636
1968-11-01,3.26974911455967
1968-12-01,3.2758323687263
1969-01-01,3.34274816455914
1969-02-01,3.36099792705901
1969-03-01,3.37316443539226
1969-04-01,3.42791372289186
1969-05-01,3.49787114580802
1969-06-01,3.55870368747425
1969-07-01,3.60432809372392
1969-08-01,3.63778599164034
1969-09-01,3.64691087289028
1969-10-01,3.66516063539015
1969-11-01,3.69253527913995
1969-12-01,3.72599317705637
1970-01-01,4.01972462530529
1970-02-01,4.05250525425783
1970-03-01,4.07709072597224
1970-04-01,4.0811883045913
1970-05-01,4.08938346182944
1970-06-01,4.08938346182944
1970-07-01,4.08528588321037
1970-08-01,4.12216409078198
1970-09-01,4.11806651216291
1970-10-01,4.13035924802011
1970-11-01,4.13445682663918
1970-12-01,4.13035924802011
1971-01-01,4.28606723554468
1971-02-01,4.30245755002095
1971-03-01,4.30245755002095
1971-04-01,4.30245755002095
1971-05-01,4.31475028587815
1971-06-01,4.31475028587815
1971-07-01,4.31475028587815
1971-08-01,4.30245755002095
1971-09-01,4.31065270725909
1971-10-01,4.32294544311629
1971-11-01,4.35162849344976
1971-12-01,4.3598236506879
1972-01-01,4.44177522306925
1972-02-01,4.47455585202179
1972-03-01,4.47455585202179
1972-04-01,4.47865343064086
1972-05-01,4.48684858787899
1972-06-01,4.49094616649806
1972-07-01,4.5114340595934
1972-08-01,4.55650742440314
1972-09-01,4.56880016026034
1972-10-01,4.59748321059382
1972-11-01,4.6630444684989
1972-12-01,4.67943478297517
1973-01-01,5.08509506626286
1973-02-01,5.18753453173955
1973-03-01,5.21621758207302
1973-04-01,5.29407157583531
1973-05-01,5.39241346269293
1973-06-01,5.48256019231241
1973-07-01,5.61778028674164
1973-08-01,5.73251248807553
1973-09-01,5.7489028025518
1973-10-01,5.77758585288528
1973-11-01,5.8882204756001
1973-12-01,5.97017204798145
1974-01-01,6.21192918650644
1974-02-01,6.37583233126914
1974-03-01,6.45368632503143
1974-04-01,6.57661368360346
1974-05-01,6.83066355798564
1974-06-01,7.02734733170089
1974-07-01,7.27320204884494
1974-08-01,7.49447129427459
1974-09-01,7.51495918736993
1974-10-01,7.58871560251314
1974-11-01,7.85505821275254
1974-12-01,7.84276547689534
1975-01-01,7.82637516241906
1975-02-01,8.26891365327836
1975-03-01,8.3016942822309
1975-04-01,8.29759670361184
1975-05-01,8.37954827599319
1975-06-01,8.34267006842158
1975-07-01,8.37954827599319
1975-08-01,8.4655974269936
1975-09-01,8.46149984837454
1975-10-01,8.49428047732708
1975-11-01,8.56393931385123
1975-12-01,8.57213447108936
1976-01-01,8.68686667242326
1976-02-01,8.89994076061477
1976-03-01,9.0228681191868
1976-04-01,9.6170170189516
1976-05-01,9.89974994366726
1976-06-01,9.9571160443342
1976-07-01,10.2316538118117
1976-08-01,10.5635576799562
1976-09-01,10.5963383089087
1976-10-01,10.6618995668138
1976-11-01,10.8954615481007
1976-12-01,10.9282421770532
1977-01-01,10.9464149382288
1977-02-01,11.3462839770682
1977-03-01,11.446251236778
1977-04-01,11.6161955782848
1977-05-01,11.9360908093563
1977-06-01,11.9860744392112
1977-07-01,11.9960711651822
1977-08-01,12.2459893144569
1977-09-01,12.3259631222247
1977-10-01,12.3559533001377
1977-11-01,12.5258976416444
1977-12-01,12.5458910935864
1978-01-01,12.6858452571802
1978-02-01,12.835796146745
1978-03-01,12.8857797765999
1978-04-01,12.9557568583968
1978-05-01,13.3256357193233
1978-06-01,13.4056095270911
1978-07-01,13.4355997050041
1978-08-01,13.9554294554953
1978-09-01,14.0553967152052
1978-10-01,14.175357426857
1978-11-01,14.4152788501606
1978-12-01,14.4752592059866
1979-01-01,14.5552330137544
1979-02-01,14.9551020525938
1979-03-01,15.0250791343907
1979-04-01,15.2250136538104
1979-05-01,15.6548728705628
1979-06-01,15.7748335822146
1979-07-01,15.9647713756633
1979-08-01,16.854479987081
1979-09-01,17.0344210545588
1979-10-01,17.2543490259204
1979-11-01,17.8041689543246
1979-12-01,17.9941067477733
1980-01-01,18.254021623019
1980-02-01,18.893812085162
1980-03-01,19.0737531526397
1980-04-01,19.2636909460885
1980-05-01,19.8734912303186
1980-06-01,20.1733930094481
1980-07-01,20.263363543187
1980-08-01,20.6932227599393
1980-09-01,20.913150731301
1980-10-01,21.1330787026627
1980-11-01,21.7528757128638
1980-12-01,22.292698915297
1981-01-01,22.7419267886181
1981-02-01,23.2675179855106
1981-03-01,23.5100985379225
1981-04-01,23.8133242284375
1981-05-01,24.5612809317076
1981-06-01,24.8038614841195
1981-07-01,24.9251517603255
1981-08-01,25.3698827730806
1981-09-01,25.5720332334239
1981-10-01,25.8550438779045
1981-11-01,26.7849359954836
1981-12-01,26.9264413177238
1982-01-01,27.2700971003074
1982-02-01,27.7956882971999
1982-03-01,27.9776237115089
1982-04-01,28.0584838956462
1982-05-01,28.7457954608133
1982-06-01,28.8266556449506
